"Street Address","Suburb","State","Postcode","Property Type","Bed","Bath","Car","Land Size (m²)","Floor Size (m²)","Year Built","Sale Price","Sale Date","Sale Type","Agency","Land Use","Development Zone","Parcel Details","Owner Type","Open in RPData"
"2/16 CLIVE STREET ","MITCHAM","VIC","3132","Other","-","-","-","175","-","-","$1,040,000","16 Oct 2021","-","-","Vacant Residential Dwelling Site/Surveyed Lot","-","2/PS839164","-","https://rpp.corelogic.com.au/property/2-16-clive-street-mitcham-vic-3132/52051350"
"6 IAN CRESCENT ","MITCHAM","VIC","3132","House: One Storey / Lowset","2","1","2","800","258","2020","$2,028,000","16 Oct 2021","-","Noel Jones Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","1/PS747716","Owner Occupied","https://rpp.corelogic.com.au/property/6-ian-crescent-mitcham-vic-3132/37433279"
"6 ARDMORE STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","2","608","262","2012","$1,841,000","13 Oct 2021","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","125/LP26189","Owner Occupied","https://rpp.corelogic.com.au/property/6-ardmore-street-mitcham-vic-3132/11846547"
"DEAKIN STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","204","97","1980","$761,000","13 Oct 2021","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","3/RP6268","Owner Occupied","https://rpp.corelogic.com.au/property/deakin-street-mitcham-vic-3132/35284423"
"1/34 DEAKIN STREET ","MITCHAM","VIC","3132","Unit: Standard","2","-","1","235","82","1980","$761,000","13 Oct 2021","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","1/RP6268","Owner Occupied","https://rpp.corelogic.com.au/property/1-34-deakin-street-mitcham-vic-3132/11849574"
"MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","-","-","2,333","-","1980","$831,000","13 Oct 2021","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","26/RP17082","Owner Occupied","https://rpp.corelogic.com.au/property/mitcham-road-mitcham-vic-3132/36912001"
"13/486-488 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","267","129","1970","$831,000","13 Oct 2021","-","Noel Jones Box Hill","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","13/RP17082","Rented","https://rpp.corelogic.com.au/property/13-486-488-mitcham-road-mitcham-vic-3132/11854881"
"13 NEWBURY STREET ","MITCHAM","VIC","3132","House","3","1","1","608","108","1960","$1,004,000","13 Oct 2021","-","Barry Plant - Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","224/LP26189","Owner Occupied","https://rpp.corelogic.com.au/property/13-newbury-street-mitcham-vic-3132/11855511"
"1 ALWYN STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","711","200","1950","$1,250,000","12 Oct 2021","-","Noel Jones Box Hill","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","22/LP34188","Owner Occupied","https://rpp.corelogic.com.au/property/1-alwyn-street-mitcham-vic-3132/11846353"
"315/435-439 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Unit: Standard","1","1","1","3,180","50","2011","$360,000","12 Oct 2021","-","WOODARDS MANNINGHAM","Strata Unit or Flat  (Unspecified)","Residential Growth Zone - Schedule 2","215/PS629194","Rented","https://rpp.corelogic.com.au/property/315-435-439-whitehorse-road-mitcham-vic-3132/15898403"
"7 MCDOWALL STREET ","MITCHAM","VIC","3132","House: Standard","3","2","4","531","156","-","$1,265,000","09 Oct 2021","-","Noel Jones Box Hill","Detached Dwelling","General Residential Zone - Schedule 2","118/LP1968","Owner Occupied","https://rpp.corelogic.com.au/property/7-mcdowall-street-mitcham-vic-3132/11853714"
"6 SIMPSON STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","560","169","1968","$1,375,000","09 Oct 2021","-","Barry Plant - Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","LOT 1 LP56352 & LOT 1 TP849355","Owner Occupied","https://rpp.corelogic.com.au/property/6-simpson-street-mitcham-vic-3132/11858562"
"24 COMPTON STREET ","MITCHAM","VIC","3132","House","3","1","1","481","110","1960","$950,000","08 Oct 2021","-","Biggin & Scott Casey","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 4","1/SP30683","Rented","https://rpp.corelogic.com.au/property/24-compton-street-mitcham-vic-3132/11848752"
"LOT 5 MCGHEE AVENUE ","MITCHAM","VIC","3132","Other","-","-","-","598","-","1975","$1,002,000","06 Oct 2021","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","5/RP12722","-","https://rpp.corelogic.com.au/property/lot-5-mcghee-avenue-mitcham-vic-3132/35023147"
"4/9 MCGHEE AVENUE ","MITCHAM","VIC","3132","Unit: Standard","3","1","1","496","113","1980","$1,002,000","06 Oct 2021","-","Barry Plant Manningham","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","4/RP12722","Rented","https://rpp.corelogic.com.au/property/4-9-mcghee-avenue-mitcham-vic-3132/14587510"
"LOT 4 BERRY AVENUE ","MITCHAM","VIC","3132","Other","-","-","-","260","-","1970","$610,000","05 Oct 2021","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","4/RP10154","-","https://rpp.corelogic.com.au/property/lot-4-berry-avenue-mitcham-vic-3132/36417956"
"2/2 BERRY AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","166","66","1965","$610,000","05 Oct 2021","-","Barry Plant Heathmont & Ringwood","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","2/RP10154","Owner Occupied","https://rpp.corelogic.com.au/property/2-2-berry-avenue-mitcham-vic-3132/11846946"
"44 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","2","1","1","451","105","1950","$1,000,000","03 Oct 2021","-","Barry Plant - Blackburn","Detached Dwelling","General Residential Zone - Schedule 2","LOT 8 TP201 & LOT 1 TP585034","Rented","https://rpp.corelogic.com.au/property/44-doncaster-east-road-mitcham-vic-3132/17394039"
"84 QUARRY ROAD ","MITCHAM","VIC","3132","House","3","1","1","757","145","1960","$1,070,000","03 Oct 2021","-","Barry Plant - Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","1/LP63857","Owner Occupied","https://rpp.corelogic.com.au/property/84-quarry-road-mitcham-vic-3132/11857401"
"1/27 GLENBURNIE ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","4","3","2","423","-","2021","$1,430,000","01 Oct 2021","-","Woodards Blackburn","Strata Unit or Flat  (Unspecified)","-","1/PS842710","Owner Occupied","https://rpp.corelogic.com.au/property/1-27-glenburnie-road-mitcham-vic-3132/48853247"
"2/8 TARRANGOWER AVENUE ","MITCHAM","VIC","3132","Unit: Standard","2","2","1","150","123","2011","$740,000","01 Oct 2021","-","Noel Jones Box Hill","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","2/PS700928","Rented","https://rpp.corelogic.com.au/property/2-8-tarrangower-avenue-mitcham-vic-3132/16418382"
"5/27 GLENBURNIE ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","2","356","-","-","$1,330,000","30 Sep 2021","-","Woodards Blackburn","Single Strata Unit/Villa Unit/Townhouse","-","5/PS842710","Owner Occupied","https://rpp.corelogic.com.au/property/5-27-glenburnie-road-mitcham-vic-3132/48853251"
"11 SHARROW ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","810","142","1965","$1,080,000","30 Sep 2021","-","Philip Webb - Ringwood","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","13/LP43366","Owner Occupied","https://rpp.corelogic.com.au/property/11-sharrow-road-mitcham-vic-3132/11858446"
"5 NEWBURY STREET ","MITCHAM","VIC","3132","House: Standard","3","2","1","602","124","-","$1,221,000","28 Sep 2021","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","254/LP26189","Owner Occupied","https://rpp.corelogic.com.au/property/5-newbury-street-mitcham-vic-3132/11855495"
"3/27 GLENBURNIE ROAD ","MITCHAM","VIC","3132","Unit: Standard","4","3","-","263","213.67","2021","$1,355,000","26 Sep 2021","-","-","Single Strata Unit/Villa Unit/Townhouse","-","3/PS842710","Owner Occupied","https://rpp.corelogic.com.au/property/3-27-glenburnie-road-mitcham-vic-3132/48853249"
"2/27 GLENBURNIE ROAD ","MITCHAM","VIC","3132","Land: Res House","3","-","-","262","-","-","$1,300,000","25 Sep 2021","-","-","Vacant Residential Dwelling Site/Surveyed Lot","-","2/PS842710","-","https://rpp.corelogic.com.au/property/2-27-glenburnie-road-mitcham-vic-3132/48853248"
"216/435-439 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","3,180","63","2011","$440,000","24 Sep 2021","-","Barry Plant Manningham","OYO Subdivided Flat","Residential Growth Zone - Schedule 2","116/PS629194","Owner Occupied","https://rpp.corelogic.com.au/property/216-435-439-whitehorse-road-mitcham-vic-3132/15910666"
"1/16 CLIVE STREET ","MITCHAM","VIC","3132","Unit","4","3","-","297","176","2023","$1,225,000","23 Sep 2021","-","-","Vacant Residential Dwelling Site/Surveyed Lot","-","1/PS839164","Owner Occupied","https://rpp.corelogic.com.au/property/1-16-clive-street-mitcham-vic-3132/52051349"
"3/27 MCGHEE AVENUE ","MITCHAM","VIC","3132","House","4","3","-","231","186","2021","$1,370,000","21 Sep 2021","-","-","Single Strata Unit/Villa Unit/Townhouse","-","3/PS842001","Owner Occupied","https://rpp.corelogic.com.au/property/3-27-mcghee-avenue-mitcham-vic-3132/49039817"
"58 ORMOND AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","1","585","114","1970","$850,000","21 Sep 2021","-","-","Detached Dwelling","General Residential Zone - Schedule 1","6/LP54320","Rented","https://rpp.corelogic.com.au/property/58-ormond-avenue-mitcham-vic-3132/11856106"
"JAMES AVENUE ","MITCHAM","VIC","3132","Unit: Standard","3","-","-","380","-","1980","$750,000","20 Sep 2021","-","-","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","3/RP7698","Owner Occupied","https://rpp.corelogic.com.au/property/james-avenue-mitcham-vic-3132/35554505"
"3/463 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit","4","2","2","555","143","1975","$1,130,000","20 Sep 2021","-","JWC Property Group","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 1","3/SP26438","Owner Occupied","https://rpp.corelogic.com.au/property/3-463-mitcham-road-mitcham-vic-3132/11854750"
"11 FELLOWS STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","1","446","125","1930","$1,297,400","17 Sep 2021","-","Barry Plant Blackburn (Sales)","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","67/LP2180","Rented","https://rpp.corelogic.com.au/property/11-fellows-street-mitcham-vic-3132/11850662"
"MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","2","-","-","2,784","-","1975","$681,000","16 Sep 2021","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","29/RP3510","Owner Occupied","https://rpp.corelogic.com.au/property/mitcham-road-mitcham-vic-3132/35099632"
"10/494-498 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","2","1","1","87","86","1985","$681,000","16 Sep 2021","-","Noel Jones Box Hill","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","10/RP3510","Rented","https://rpp.corelogic.com.au/property/10-494-498-mitcham-road-mitcham-vic-3132/15562902"
"10 COCHRANE STREET ","MITCHAM","VIC","3132","Unit: Standard","3","2","2","310","117","1980","$1,068,000","14 Sep 2021","-","The One Real Estate","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/PS711521","Owner Occupied","https://rpp.corelogic.com.au/property/10-cochrane-street-mitcham-vic-3132/11848532"
"21 CARWEEN AVENUE ","MITCHAM","VIC","3132","House","4","2","1","757","350","2024","$1,420,000","11 Sep 2021","-","Noel Jones Box Hill","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","1/LP40680","Owner Occupied","https://rpp.corelogic.com.au/property/21-carween-avenue-mitcham-vic-3132/11847732"
"18 SHARROW ROAD ","MITCHAM","VIC","3132","House: Standard","4","2","2","895","166","1970","$1,300,000","10 Sep 2021","-","Harcourts First","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","1/LP50123","Owner Occupied","https://rpp.corelogic.com.au/property/18-sharrow-road-mitcham-vic-3132/11858461"
"2/79 CHURINGA AVENUE ","MITCHAM","VIC","3132","Unit: Standard","4","2","-","785","183.15","2022","$0","07 Sep 2021","Nils And Wills","-","-","-","2/PS838652","Owner Occupied","https://rpp.corelogic.com.au/property/2-79-churinga-avenue-mitcham-vic-3132/47912376"
"4/27 GLENBURNIE ROAD ","MITCHAM","VIC","3132","Other","-","-","-","289","-","-","$1,200,000","06 Sep 2021","-","-","Single Strata Unit/Villa Unit/Townhouse","-","4/PS842710","-","https://rpp.corelogic.com.au/property/4-27-glenburnie-road-mitcham-vic-3132/48853250"
"VICTORIA AVENUE ","MITCHAM","VIC","3132","Unit: Standard","3","-","-","398","-","1980","$870,000","03 Sep 2021","-","-","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 1","4/SP20025","Owner Occupied","https://rpp.corelogic.com.au/property/victoria-avenue-mitcham-vic-3132/36257153"
"2/34 VICTORIA AVENUE ","MITCHAM","VIC","3132","Unit: Standard","3","1","2","235","115","1975","$870,000","03 Sep 2021","-","hockingstuart Ringwood","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 1","2/SP20025","Owner Occupied","https://rpp.corelogic.com.au/property/2-34-victoria-avenue-mitcham-vic-3132/11859822"
"34 LUCKNOW STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","1","637","128.98","1960","$1,151,000","02 Sep 2021","-","Jellis Craig & Company Pty Ltd","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","43/LP17076","Rented","https://rpp.corelogic.com.au/property/34-lucknow-street-mitcham-vic-3132/11853489"
"15 IAN CRESCENT ","MITCHAM","VIC","3132","Other","-","-","-","951","-","-","$0","01 Sep 2021","Nils And Wills","-","-","Neighbourhood Residential Zone - Schedule 3","33/LP28014","-","https://rpp.corelogic.com.au/property/15-ian-crescent-mitcham-vic-3132/36618805"
"25/520 MITCHAM ROAD ","MITCHAM","VIC","3132","Unit: Standard","4","2","1","183","-","2018","$980,000","31 Aug 2021","-","Biggin & Scott Whitehorse","OYO Unit","Neighbourhood Residential Zone - Schedule 3","25/PS744064","Owner Occupied","https://rpp.corelogic.com.au/property/25-520-mitcham-road-mitcham-vic-3132/17871271"
"6 LEE PARADE ","MITCHAM","VIC","3132","Unit: Standard","3","1","2","243","124","2005","$892,000","27 Aug 2021","-","Noel Jones Box Hill","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","10/PS534420","Owner Occupied","https://rpp.corelogic.com.au/property/6-lee-parade-mitcham-vic-3132/11853162"
"1/15 SIMPSON STREET ","MITCHAM","VIC","3132","Other","-","-","-","346","-","-","$0","27 Aug 2021","Nils And Wills","-","-","Neighbourhood Residential Zone - Schedule 3","1/PS832539","-","https://rpp.corelogic.com.au/property/1-15-simpson-street-mitcham-vic-3132/47609655"
"2/15 SIMPSON STREET ","MITCHAM","VIC","3132","Other","-","-","-","301","-","-","$0","27 Aug 2021","Nils And Wills","-","-","Neighbourhood Residential Zone - Schedule 3","2/PS832539","-","https://rpp.corelogic.com.au/property/2-15-simpson-street-mitcham-vic-3132/47609657"
"33 BLOSSOM STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","2","402","95","1970","$788,000","23 Aug 2021","-","Noel Jones Box Hill","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","1/PS415506","Owner Occupied","https://rpp.corelogic.com.au/property/33-blossom-street-mitcham-vic-3132/11847027"
"27 SIMPSON STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","2","1","833","136","1950","$1,516,000","21 Aug 2021","-","Barry Plant Blackburn (Sales)","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","11/LP28014","Rented","https://rpp.corelogic.com.au/property/27-simpson-street-mitcham-vic-3132/11858609"
"4 FLINDERS STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","797","170","1955","$0","19 Aug 2021","Nils And Wills","Barry Plant Blackburn","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 1","25/LP21039","Owner Occupied","https://rpp.corelogic.com.au/property/4-flinders-street-mitcham-vic-3132/11850824"
"9 VERNAL AVENUE ","MITCHAM","VIC","3132","House","5","1","-","1,665","222","1920","$0","17 Aug 2021","Nils And Wills","-","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 1","69/LP6736","Owner Occupied","https://rpp.corelogic.com.au/property/9-vernal-avenue-mitcham-vic-3132/11859625"
"30 GLENBURNIE ROAD ","MITCHAM","VIC","3132","House","4","2","4","1,284","230","1960","$2,400,000","15 Aug 2021","-","Barry Plant - Blackburn","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","1/TP590042","Owner Occupied","https://rpp.corelogic.com.au/property/30-glenburnie-road-mitcham-vic-3132/11851334"
"15 CHURCH STREET ","MITCHAM","VIC","3132","Unit: Standard","2","1","1","282","71","1955","$799,900","14 Aug 2021","-","Noel Jones Blackburn","Strata Unit or Flat  (Unspecified)","General Residential Zone - Schedule 2","LOTS 2 & CM CS1395","Owner Occupied","https://rpp.corelogic.com.au/property/15-church-street-mitcham-vic-3132/11848120"
"44 ALWYN STREET ","MITCHAM","VIC","3132","House","5","4","2","654","353","2017","$1,910,000","12 Aug 2021","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","105/LP17899","Owner Occupied","https://rpp.corelogic.com.au/property/44-alwyn-street-mitcham-vic-3132/11846453"
"1/32-36 HEATHERDALE ROAD ","MITCHAM","VIC","3132","Unit: Standard","3","2","1","253","128.93","1989","$828,888","11 Aug 2021","-","Barry Plant Heathmont & Ringwood","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","1/SP32228","Owner Occupied","https://rpp.corelogic.com.au/property/1-32-36-heatherdale-road-mitcham-vic-3132/11852158"
"15 SUNNINGHILL COURT ","MITCHAM","VIC","3132","House","3","1","2","686","175","1970","$0","11 Aug 2021","Nils And Wills","PHILIP WEBB REAL ESTATEDONCASTER","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 1","18/LP95100","Owner Occupied","https://rpp.corelogic.com.au/property/15-sunninghill-court-mitcham-vic-3132/11858874"
"8 LANGFORD AVENUE ","MITCHAM","VIC","3132","House","4","2","2","681","349","2018","$2,050,000","07 Aug 2021","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","1/LP32780","Owner Occupied","https://rpp.corelogic.com.au/property/8-langford-avenue-mitcham-vic-3132/11853134"
"9 WATTLE VALLEY ROAD ","MITCHAM","VIC","3132","House: Standard","4","2","1","614","190","1960","$1,250,000","06 Aug 2021","-","Voglwalpole Estate Agents","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","3/LP54888","Owner Occupied","https://rpp.corelogic.com.au/property/9-wattle-valley-road-mitcham-vic-3132/11860281"
"599 WHITEHORSE ROAD ","MITCHAM","VIC","3132","Business: Agricultural Services","-","-","10","757","-","-","$1,620,000","05 Aug 2021","-","Ray White Commercial Diston Asset Services","Veterinary Clinic","General Residential Zone - Schedule 2","1/TP297600","-","https://rpp.corelogic.com.au/property/599-whitehorse-road-mitcham-vic-3132/11860790"
"1/61 CHURINGA AVENUE ","MITCHAM","VIC","3132","Unit: Standard","3","1","2","304","96","-","$838,000","03 Aug 2021","-","Barry Plant Manningham","Single Strata Unit/Villa Unit/Townhouse","Neighbourhood Residential Zone - Schedule 3","1/PS430680","Rented","https://rpp.corelogic.com.au/property/1-61-churinga-avenue-mitcham-vic-3132/11848169"
"13/21 DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","1","130","112","2013","$810,000","01 Aug 2021","-","Barry Plant - Blackburn","OYO Unit","Neighbourhood Residential Zone - Schedule 4","14/PS648889","Owner Occupied","https://rpp.corelogic.com.au/property/13-21-doncaster-east-road-mitcham-vic-3132/16733301"
"4 IRELAND AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","2","1","1","199","96","1998","$775,000","01 Aug 2021","-","J & D Real Estate","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","2/PS404545","Rented","https://rpp.corelogic.com.au/property/4-ireland-avenue-mitcham-vic-3132/11852794"
"74 COCHRANE STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","2","2","605","102","-","$1,112,000","31 Jul 2021","-","Noel Jones Mitcham","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","2/LP97958","Rented","https://rpp.corelogic.com.au/property/74-cochrane-street-mitcham-vic-3132/11848649"
"224B/1 COLOMBO STREET ","MITCHAM","VIC","3132","Flats: Self Contained","1","1","1","3,890","56","2012","$303,000","31 Jul 2021","-","RT Edgar - Monash","OYO Subdivided Flat","Mixed Use Zone","214B/PS632398","Rented","https://rpp.corelogic.com.au/property/224b-1-colombo-street-mitcham-vic-3132/16172883"
"4/42 GLENBURNIE ROAD ","MITCHAM","VIC","3132","House","4","3","-","323","205","2024","$1,270,000","30 Jul 2021","-","-","Strata Unit or Flat  (Unspecified)","-","4/PS835286","Owner Occupied","https://rpp.corelogic.com.au/property/4-42-glenburnie-road-mitcham-vic-3132/51670484"
"40 COOK ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","4","2","-","880","86","1965","$1,350,000","29 Jul 2021","-","REGENT ESTATE AGENTS","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","51/LP6626","Owner Occupied","https://rpp.corelogic.com.au/property/40-cook-road-mitcham-vic-3132/35427509"
"33 ALWYN STREET ","MITCHAM","VIC","3132","House","3","1","1","690","156","1950","$1,505,000","24 Jul 2021","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","11/LP17899","Owner Occupied","https://rpp.corelogic.com.au/property/33-alwyn-street-mitcham-vic-3132/11846431"
"27 VENICE AVENUE ","MITCHAM","VIC","3132","House","3","1","2","534","147","1965","$1,212,000","24 Jul 2021","-","Noel Jones Box Hill","Detached Dwelling","General Residential Zone - Schedule 1","40/LP68323","Owner Occupied","https://rpp.corelogic.com.au/property/27-venice-avenue-mitcham-vic-3132/11859512"
"41 CRESSWELL CRESCENT ","MITCHAM","VIC","3132","House","4","-","-","604","156","-","$0","22 Jul 2021","Nils And Wills","-","Detached Dwelling (existing)","Neighbourhood Residential Zone - Schedule 4","170/LP26190","Owner Occupied","https://rpp.corelogic.com.au/property/41-cresswell-crescent-mitcham-vic-3132/11849255"
"2 RICHARDS STREET ","MITCHAM","VIC","3132","Business: Wholesale Trade","-","-","-","352","124","-","$845,000","22 Jul 2021","-","GormanKelly","General Purpose Factory","Industrial 1 Zone","1/LP2970","-","https://rpp.corelogic.com.au/property/2-richards-street-mitcham-vic-3132/11857638"
"9 ORIENT AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","1","3","1,165","167","1950","$0","20 Jul 2021","Nils And Wills","RAY WHITE MITCHAM","Detached Dwelling","Neighbourhood Residential Zone - Schedule 1","4/LP34464","Owner Occupied","https://rpp.corelogic.com.au/property/9-orient-avenue-mitcham-vic-3132/11855738"
"23 DEEP CREEK ROAD ","MITCHAM","VIC","3132","Flats: Boarding House","6","3","-","995","233","1960","$1,410,000","17 Jul 2021","-","-","Res Investment Flats","Neighbourhood Residential Zone - Schedule 3","135/LP8022","Owner Occupied","https://rpp.corelogic.com.au/property/23-deep-creek-road-mitcham-vic-3132/14660960"
"7 GARDEN AVENUE ","MITCHAM","VIC","3132","House: One Storey / Lowset","2","1","1","773","122","1903","$1,175,000","17 Jul 2021","-","Ray White Blackburn","Detached Dwelling","General Residential Zone - Schedule 2","1/TP87832","Rented","https://rpp.corelogic.com.au/property/7-garden-avenue-mitcham-vic-3132/11851065"
"1 HARRISON STREET ","MITCHAM","VIC","3132","House","2","1","1","317","152","-","$750,000","16 Jul 2021","-","-","Detached Dwelling","General Residential Zone - Schedule 2","1/PS342177","Owner Occupied","https://rpp.corelogic.com.au/property/1-harrison-street-mitcham-vic-3132/11851844"
"21/14 SIMLA STREET ","MITCHAM","VIC","3132","Business: Wholesale Trade","-","-","-","4,155","-","-","$167,000","16 Jul 2021","-","Hudson Bond Commercial Pty. Ltd.","Factory Unit","-","21/PS425700","-","https://rpp.corelogic.com.au/property/21-14-simla-street-mitcham-vic-3132/48259087"
"1/27 MCGHEE AVENUE ","MITCHAM","VIC","3132","Unit: Standard","4","4","2","338","215","2021","$1,410,000","15 Jul 2021","-","Woodards Blackburn","Strata Unit or Flat  (Unspecified)","-","1/PS842001","Rented","https://rpp.corelogic.com.au/property/1-27-mcghee-avenue-mitcham-vic-3132/49039815"
"465 SPRINGFIELD ROAD ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","3","2","1","301","119","-","$955,000","14 Jul 2021","-","-","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","1/PS644602","Owner Occupied","https://rpp.corelogic.com.au/property/465-springfield-road-mitcham-vic-3132/16915601"
"3/42 GLENBURNIE ROAD ","MITCHAM","VIC","3132","House","4","3","-","289","212","2024","$1,265,000","13 Jul 2021","-","-","Strata Unit or Flat  (Unspecified)","-","3/PS835286","Owner Occupied","https://rpp.corelogic.com.au/property/3-42-glenburnie-road-mitcham-vic-3132/51670483"
"4/12-14 FERGUSON STREET ","MITCHAM","VIC","3132","Unit: Townhouse/Villa","2","1","1","231","108","2008","$776,000","11 Jul 2021","-","Jellis Craig Whitehorse","Single Strata Unit/Villa Unit/Townhouse","General Residential Zone - Schedule 2","4/PS621396","Owner Occupied","https://rpp.corelogic.com.au/property/4-12-14-ferguson-street-mitcham-vic-3132/14884517"
"16 COMPTON STREET ","MITCHAM","VIC","3132","House: One Storey / Lowset","3","1","2","758","110","-","$1,285,000","10 Jul 2021","-","Jellis Craig Whitehorse","Detached Dwelling","Neighbourhood Residential Zone - Schedule 4","52/LP26188","Rented","https://rpp.corelogic.com.au/property/16-compton-street-mitcham-vic-3132/11848738"
"11 DENMAN STREET ","MITCHAM","VIC","3132","House","4","2","2","996","171","1963","$1,553,000","10 Jul 2021","-","FLETCHERS BLACKBURN","Detached Dwelling","Neighbourhood Residential Zone - Schedule 3","187/LP8809","Owner Occupied","https://rpp.corelogic.com.au/property/11-denman-street-mitcham-vic-3132/11849809"
"42C DONCASTER EAST ROAD ","MITCHAM","VIC","3132","Unit: Standard","5","2","2","333","154","1992","$1,079,888","10 Jul 2021","-","Philip Webb - Doncaster East","OYO Subdivided Dwelling","General Residential Zone - Schedule 2","2/SP36025","Rented","https://rpp.corelogic.com.au/property/42c-doncaster-east-road-mitcham-vic-3132/11849967"
"1/42 GLENBURNIE ROAD ","MITCHAM","VIC","3132","House: One Storey / Lowset","4","3","2","481","210","2024","$1,400,000","08 Jul 2021","-","-","Single Strata Unit/Villa Unit/Townhouse","-","1/PS835286","Rented","https://rpp.corelogic.com.au/property/1-42-glenburnie-road-mitcham-vic-3132/51670481"
